M5#, time(ms), gX (deg/s), gY (deg/s), gZ (deg/s), aX (g), aY (g), aZ (g), pitch (deg), roll (deg), yaw (deg)
0,50,24.01,-15.19,107.67,-0.279,-1.002,-0.675,23.7,-22,-23.3
0,50,24.37,-13.84,88.14,-0.347,-0.862,-0.483,17.8,-25.9,-20.2
0,50,-0.77,-22.14,60.31,-0.392,-0.697,-0.401,12.2,-29.8,-18.6
0,53,-25.43,-15.43,11.23,-0.488,-0.382,-0.339,4.5,-31.3,-19.6
0,51,-38.49,-4.63,-14.03,-0.506,-0.074,-0.285,-4.9,-29.4,-21.6
0,46,-48.26,10.39,-18.61,-0.456,0.15,-0.205,-13.7,-24.4,-22.6
0,50,-58.88,19.91,-20.08,-0.478,0.247,-0.193,-21,-19.4,-23
0,51,-75.24,59.64,-21.05,-0.22,0.164,-0.195,-26.6,-15.4,-25.8
0,51,-106.73,81.13,-40.71,-0.023,0.012,-0.291,-30.7,-20.8,-27.9
0,52,-149.09,138.68,-106.69,0.178,-0.095,-0.479,-29.2,-25.8,-38.5
0,48,-165.26,176.22,-153.93,0.416,-0.353,-0.951,-28.7,-31.5,-48
0,50,-143.29,177.26,-163.14,0.948,-0.357,-1.438,-37.6,-38.7,-56.2
0,52,-102.4,89.86,-102.05,0.925,-0.167,-1.745,-42.2,-44,-61.5
0,49,-18.6,135.39,-52.36,0.806,-0.101,-1.372,-48.9,-44.9,-64
0,51,33.47,133.01,-24.17,0.832,-0.032,-0.921,-41,-37,-62.7
0,53,37.49,176.16,-5.61,0.693,-0.071,-0.628,-35.6,-30.4,-59.8
0,47,15.64,247.2,2.32,0.747,-0.095,-0.393,-30.9,-26.2,-54.9
0,50,-8.95,236.22,-26.79,0.806,-0.098,-0.289,-25.9,-23.6,-50.7
0,51,-35.02,209.85,-60.67,1.012,-0.127,-0.089,-19,-22.6,-46.5
0,51,-74.32,134.05,-69.21,1.439,0.149,-0.174,-9.8,-21.6,-43.6
0,51,-99.1,28.27,-26,1.204,0.104,-0.21,2.3,-21.9,-39.6
0,49,-99.9,23.21,-9.03,1.039,0.143,-0.052,13.2,-21.6,-34.5
0,51,-92.27,-27.09,-10.98,1.051,0.204,-0.029,24.3,-20.7,-30
0,51,-62.24,-60.29,-9.58,0.876,0.173,-0.197,34.2,-18.7,-27.8
0,53,-0.47,15.58,2.63,1.03,0.144,-0.041,40.7,-14.7,-23.8
Next Letter: 1,,,,,,,,,,
1,51,-0.04,-2.19,0.13,0.971,0.162,0.011,80.6,9.4,0.7
1,61,0.02,-0.96,-1.03,0.964,0.155,0.002,80.7,9.4,0.5
1,39,-0.59,-5.18,0.55,1.007,0.169,0.023,80.8,9.4,0.7
1,51,-1.57,-10.73,0.25,0.959,0.172,0.013,81.1,9.4,0.7
1,51,0.51,-3.1,1.16,0.966,0.168,0,81.1,9.5,0.6
1,51,-0.1,-0.72,0.13,0.962,0.154,-0.014,81.1,9.4,0.4
1,52,-0.9,-0.66,-0.61,0.968,0.167,-0.012,81,9.5,0.2
1,49,0.63,-0.48,0.8,0.984,0.169,-0.013,80.9,9.5,0.1
1,52,-2.36,-5.48,0.55,1.027,0.161,-0.077,81,9.3,-0.5
1,50,6.61,0.81,4.83,1.043,0.236,-0.303,79.3,10,-2.6
1,51,107.93,-26.6,49.99,1.523,0.405,-0.432,80.7,15.6,-0.1
1,50,189.29,-75.55,131.84,1.593,0.159,-0.476,84.4,25,6.5
1,50,208.39,-167.29,203.56,1.165,-0.175,-0.296,89.9,28.9,12.1
1,52,185.63,-252.98,173.04,0.752,-0.389,-0.16,96.7,28.7,16.3
1,48,117.88,-326.59,103.58,0.625,-0.745,-0.412,101,22.5,14.7
1,50,92,-278.74,91.74,0.912,-1.011,-0.438,114.9,27.1,19.2
1,51,31.39,-226.37,108.34,0.598,-1.101,-0.491,126.5,28.7,24.8
1,50,51.35,-148.73,152.23,0.676,-0.91,-0.708,133.9,31.3,32.4
1,51,56.9,-118.88,137.45,0.215,-0.797,-0.487,120.9,20.6,28.9
1,50,68.19,-58.64,85.51,0.079,-0.4,-0.399,106.5,13.7,21.5
1,51,52.45,-37.04,39.98,-0.122,0.05,-0.144,108.3,16.4,23.6
1,51,29.93,9.59,24.54,-0.198,0.122,0.172,107.9,17.9,24.8
1,51,-53.14,28.58,17.83,-0.144,0.12,0.245,86.3,16.4,29.8
1,51,-127,43.41,14.77,-0.119,0.072,0.183,84.1,9.9,30.5
1,50,-190.53,114.45,-4.21,-0.041,-0.022,-0.089,78.3,0.4,30.3
1,50,-227.83,157.12,-36.74,0.082,-0.32,-0.668,60.9,-13.2,14.6
1,50,-209.03,160.35,-57.19,0.317,-0.388,-1.616,52.8,-23.6,11.8
1,50,-91.35,109.33,-30.64,0.178,0.149,-2.311,47.4,-28.2,10.3
1,51,80.65,130.38,-47.91,0.319,0.202,-1.896,40.7,-24.1,7.8
1,52,194.96,46.46,-77.57,0.35,0.191,-1.324,34.8,-10.7,-7.8
1,49,221.03,-10.73,-95.21,0.523,-0.357,-0.639,35.3,-3.4,-17.4
1,50,198.75,-100.51,-144.34,0.312,-0.708,-0.296,37.6,-3.2,-24
1,52,155.48,-61.15,-140.44,0.641,-1.142,0.009,39.1,-5,-26.6
1,49,65.27,-20.19,-100.34,0.685,-1.224,0.096,40.1,-1.8,-31.5
1,51,-42.58,74.66,17.7,0.861,-1.097,0.073,36.3,-3.9,-30.6
1,51,-124.55,131.79,92.84,0.914,-0.839,-0.128,32.2,-15.1,-22.9
1,51,-171.37,147.96,144.35,1.025,-0.524,-0.396,29.5,-24.1,-16
1,49,-219.95,84.36,162.36,0.718,-0.225,-0.568,29,-31.7,-12.4
1,54,-193.52,55.8,157.35,0.638,0.215,-0.884,27.4,-34.2,-11.2
1,47,-122.23,22.72,101.57,0.092,0.336,-1.048,23.1,-31.3,-16.2
1,51,-40.57,42.19,41.2,0.198,0.41,-1.017,19.3,-25.1,-21.9
1,49,-15,57.63,-16.78,0.261,0.297,-0.808,16.6,-19.1,-28.9
1,53,-4.68,92.24,-55.36,0.508,0.164,-0.681,15.3,-14.8,-34.8
1,48,-9.87,175.18,-88.38,0.678,-0.097,-0.512,13.7,-13.9,-38.7
1,54,0.14,204.66,-110.59,0.937,-0.181,-0.287,12.8,-13.4,-40.5
1,60,-11.7,173.17,-122.68,1.064,-0.256,-0.091,13.4,-14,-41.4
1,40,-32.02,143.81,-135.43,1.107,-0.264,-0.087,17.9,-15,-40.5
1,46,-41.06,105.48,-115.11,1.329,-0.176,-0.088,23.3,-15.5,-39.5
1,51,-34.22,13.13,-75.62,1.293,-0.121,-0.188,31.3,-15.4,-38.1
1,53,-18.17,57.57,-26.79,1.089,0.061,-0.243,35.5,-13.5,-35.4
1,49,16.56,10.33,-1.64,1.057,0.125,-0.236,41.2,-9.8,-32.1
1,51,17.9,-28.13,12.88,0.99,0.178,-0.037,48.1,-6,-27
1,59,-5.84,-2,8.91,0.846,0.188,-0.001,52.6,-3.5,-22.5
1,42,-14.14,16.86,11.42,1.051,0.169,-0.007,56.3,-2.1,-18.8
1,49,-14.26,-5.3,7.27,0.948,0.194,-0.042,59.8,-0.7,-16
1,55,-6.51,8.25,3.42,0.924,0.185,-0.032,62.2,0.8,-13.8
1,51,0.57,5.44,-3.54,0.955,0.223,-0.031,64.1,2.7,-12.1
1,46,2.4,-4.99,0.86,0.997,0.196,0.015,66.5,4.1,-10.1
1,51,0.38,-10.12,-0.67,0.962,0.206,-0.006,68.7,5.3,-8.7
1,53,3.68,-8.96,1.22,0.977,0.194,-0.022,70.6,6.3,-7.5
Next Letter: 2,,,,,,,,,,
2,48,-1.75,1.35,-1.46,0.964,0.205,-0.024,77.9,11.5,-2.4
2,51,-1.14,-0.84,-0.42,0.97,0.216,-0.038,77.8,11.6,-2.4
2,50,-0.1,0.2,0.19,0.948,0.214,-0.036,77.7,11.8,-2.3
2,60,-1.14,0.74,-0.73,0.971,0.212,-0.018,77.7,11.8,-2.2
2,40,-1.75,-1.76,-0.36,0.941,0.206,-0.024,77.7,11.8,-2.1
2,51,-2.36,3.25,-2.07,0.962,0.214,-0.03,77.5,11.8,-2.1
2,51,-1.14,-0.42,-0.79,0.976,0.21,-0.042,77.5,11.8,-2.2
2,51,9.23,18.02,13.92,1.061,0.309,-0.309,75.3,12.8,-3.6
2,51,101.58,-11.46,38.33,1.383,0.462,-0.536,75.9,18,-1.7
2,53,214.74,9.53,107.91,1.277,0.16,-0.365,74.9,26,1.1
2,48,225.24,-5.36,159.98,1.088,-0.05,-0.235,75.6,30.9,5.6
2,51,154.86,-202.38,151.25,1.479,-0.191,-0.449,85.9,38.8,13.3
2,51,141.68,-343.13,116.58,1.133,-0.578,-0.339,103.4,46,19.3
2,52,129.6,-332.87,104.98,1.04,-0.684,-0.293,120.7,52.7,24.7
2,49,164.63,-253.04,116.58,0.999,-0.908,-0.65,133.1,60.8,30.4
2,52,200.27,-151.9,108.04,0.735,-0.986,-0.327,141,71.2,36.1
2,48,136.07,-81.65,92.72,0.673,-0.891,-0.042,128.7,58.2,34.1
2,50,52.39,-23.91,80.75,0.551,-0.516,-0.069,117.4,45.2,31.6
2,50,-21.83,11.49,101.63,0.461,-0.249,0.11,108.2,33.4,33
2,52,-95.99,-17.81,124.88,0.191,0.135,0.055,109.2,28.4,39.5
2,53,-123.94,23.51,159.12,-0.074,0.116,0.079,107.9,21.8,47.9
2,47,-145.12,-21.23,148.26,-0.363,0.167,-0.058,83,16.4,45.4
2,49,-155.38,20.83,108.77,-0.738,0.251,-0.408,61.1,10,39
2,53,-131.88,120.01,49.56,-0.491,0.421,-0.66,41.7,6.6,28.5
2,48,-135.91,93.52,-19.71,-0.282,0.402,-0.803,29.1,3.9,14.7
2,56,-122.48,174.51,-107.85,-0.147,0.042,-1.064,15.2,-2.2,-4.9
2,58,-110.7,162.3,-182.86,0.227,0.305,-1.376,6.3,-5.5,-24.4
2,54,-45.03,132.58,-210.99,0.571,0.094,-1.73,-0.9,-7.9,-35.8
2,33,89.07,111.16,-225.52,0.679,-0.085,-1.505,-4.5,-5,-43.2
2,54,182.03,81.43,-219.97,0.915,-0.103,-0.955,-1,3.5,-53.8
2,49,194.66,86.19,-159.66,0.937,-0.725,-0.558,-5.3,13,-61.6
2,50,128.13,16,-89.35,0.887,-0.81,-0.371,-6.1,19.4,-66
2,51,25.84,22.29,5.8,0.924,-0.905,-0.298,-7.2,20.7,-65.7
2,51,-48.2,60.99,79.29,0.941,-0.674,-0.309,-1,10.4,-54.7
2,50,-108.68,69.59,155.89,0.97,-0.483,-0.37,4.9,0.5,-42.7
2,52,-161.36,79.66,195.56,0.933,-0.24,-0.484,9.6,-8.7,-31.6
2,51,-195.23,55.68,222.29,0.807,0.12,-0.694,13.1,-14.9,-23.3
2,54,-172.41,41.52,188.3,0.437,0.311,-0.884,13,-17.9,-20
2,46,-105.39,18.81,119.88,0.35,0.4,-1.007,13,-16.3,-21.6
2,50,-35.32,22.41,42.73,0.276,0.43,-0.993,12.2,-11.9,-26
2,50,14.48,45.12,-10.86,0.355,0.34,-0.874,11.6,-6.6,-31.6
2,50,26.87,76.61,-44.25,0.455,0.175,-0.76,11.1,-2.8,-37.4
2,50,28.89,157.24,-54.5,0.727,0.017,-0.529,10.9,-1,-39.5
2,51,31.51,188.49,-42.9,0.895,-0.144,-0.301,11.5,-0.7,-38.2
2,51,10.64,157.85,-44.86,0.917,-0.251,-0.104,14,-2.5,-35.3
2,49,-7.67,148.75,-55.72,0.926,-0.269,-0.057,16.7,-4.8,-32.9
2,51,-14.87,133.8,-71.9,1.053,-0.279,-0.014,19.7,-7,-31.2
2,62,-11.94,85.64,-69.64,1.085,-0.243,-0.003,23.8,-8.4,-30.2
2,39,-33.25,60.68,-53.1,1.159,-0.037,-0.094,31,-8.6,-28.1
2,51,-33,18.69,-36.31,1.082,-0.016,-0.048,38.6,-8.8,-25.8
2,50,-38.92,14.78,-17.76,1.145,0.094,-0.155,44.3,-8.5,-23.9
2,51,36.7,-5.24,-8.24,0.965,0.04,-0.202,49.6,-5.2,-22.4
2,51,-15.42,-3.34,0.43,0.97,0.073,0.059,55,-4.5,-18.5
2,51,-8.77,-2.06,-2.86,1.007,0.066,0.11,59.2,-3.6,-14.9
2,51,-8.89,-9.27,-0.06,1.012,0.128,0.04,63.1,-2.4,-12.4
2,51,-1.39,-2.92,1.16,0.963,0.132,0.03,66.1,-0.9,-10.2
2,50,0.69,-6.34,1.22,0.969,0.111,0.047,68.9,0.2,-8.2
2,51,-0.41,-1.09,-0.91,0.971,0.13,0.063,70.8,1.3,-6.5
2,51,0.69,-4.57,0.31,1.002,0.126,0.044,72.8,2.2,-5.1
2,51,2.15,-3.28,0.49,0.972,0.104,0.031,74.5,2.9,-4
Next Letter: 3,,,,,,,,,,
3,49,-0.71,-2.43,0.55,0.966,0.113,0.011,82.8,6.8,0.9
3,50,-1.63,1.11,-1.4,0.98,0.125,0.022,82.7,6.8,0.9
3,50,-0.53,-0.66,-0.12,0.976,0.127,0.021,82.7,6.9,1
3,51,-0.41,0.2,-2.07,0.97,0.103,0.004,82.9,6.7,0.8
3,51,-1.45,1.17,-0.97,0.985,0.115,0.01,82.9,6.7,0.7
3,51,-5.9,-0.29,-2.62,0.957,0.143,0.02,82.7,6.7,0.7
3,55,0.14,10.2,-7.02,0.95,0.163,-0.039,81.8,7.1,-0.1
3,46,31.51,46.46,-0.91,1.13,0.364,-0.361,77.6,9.9,-2.7
3,51,187.64,115.06,88.26,1.846,0.467,-0.269,71.7,19.4,1.8
3,51,213.58,-0.35,237.13,1.517,-0.236,-0.08,73.1,24.5,11.4
3,50,156.82,-167.04,239.75,1.34,-0.335,-0.31,79.9,25.4,18
3,50,161.09,-379.75,160.1,1.089,-0.514,-0.171,93.6,24.7,20.9
3,51,124.53,-347.46,171.21,1.376,-0.972,0.045,111.3,31,29.6
3,49,174.46,-313.77,170.23,0.852,-1.071,-0.094,126.7,39.6,37.9
3,55,185.38,-146.11,145.27,0.913,-1.04,0.045,120.7,35,39.3
3,46,63.5,-60.29,148.01,0.765,-0.548,0.016,113.1,26.9,39.4
3,50,-75.66,10.88,149.17,0.251,-0.028,0.164,112.6,23.1,46.8
3,51,-160.32,6.18,144.96,0.256,0.194,0.235,101.4,17.1,51.5
3,51,-199.69,-44.6,133.79,-0.26,0.207,0.079,80.7,11.5,51.6
3,50,-184.86,-24.65,75.93,-0.678,0.345,-0.367,61.6,5.5,43.2
3,50,-136.15,61.17,-0.48,-0.761,0.456,-0.703,43.5,2.5,31
3,50,-81.16,120.56,-89.72,-0.43,0.12,-0.956,28.2,-0.4,12.8
3,51,-15,119.09,-170.59,0.032,-0.248,-1.209,19,-2.7,-8.3
3,50,55.5,116.1,-173.64,0.521,-0.405,-1.222,13.2,0.1,-17
3,50,89.68,51.1,-123.04,0.697,-1.08,-1.147,10.7,4.5,-23.1
3,51,107.81,7.58,-58.47,0.677,-1.26,-0.896,10.3,10,-26.1
3,49,89.56,-3.41,28.08,0.675,-1.131,-0.712,10.5,14.4,-24.7
3,50,57.33,24.85,107.43,0.533,-0.922,-0.427,12,6.7,-19.7
3,51,12.47,10.88,149.78,0.321,-0.689,-0.315,13.2,-2.3,-13.7
3,51,-32.21,27.48,156.99,0.122,-0.463,-0.249,12,-12.2,-8.9
3,51,-95.81,71.48,143.44,0.011,-0.261,-0.237,7.3,-21.7,-7.7
3,49,-164.41,80.33,120.3,0.048,0.042,-0.385,3.4,-29.8,-1.8
3,53,-174.24,107.92,77.88,-0.045,0.233,-0.586,-2.6,-29.9,-8.2
3,48,-165.94,114.03,-9.94,0.017,0.413,-1.013,-6.7,-28.9,-17.6
3,51,-97.88,121.29,-112.67,-0.041,0.344,-1.384,-11.2,-26.7,-31.2
3,50,-11.21,94.37,-196.77,0.459,0.303,-1.488,-15.9,-27.2,-41
3,52,60.38,34.31,-231.44,0.651,-0.042,-1.368,-17.7,-24.1,-53.1
3,50,138.02,19.36,-223.14,0.787,-0.222,-1.018,-18.7,-17.2,-64.2
3,51,148.88,-36.61,-157.89,0.787,-0.444,-0.726,-7.9,-11.5,-67.3
3,51,128.19,-11.1,-99.36,0.631,-0.511,-0.53,-0.1,-9,-66.5
3,51,79.85,10.45,-44.06,0.66,-0.426,-0.438,6.5,-8.5,-62.8
3,51,24.01,42.86,-7.69,0.619,-0.347,-0.422,11,-9.9,-58.3
3,50,-11.76,68.92,4.76,0.616,-0.28,-0.485,13.6,-11.8,-54.7
3,51,-33.67,116.1,4.89,0.634,-0.186,-0.553,13.6,-13.4,-52.3
3,54,-40.81,147.9,-2.74,0.684,-0.126,-0.602,12,-14.4,-50.7
3,46,-56.13,181.16,-8.24,0.705,-0.159,-0.544,10.8,-16,-48.9
3,50,-109.66,187.08,-12.39,0.906,-0.127,-0.459,10.5,-19.3,-46.1
3,50,-169.9,122.33,-4.33,1.103,-0.031,-0.393,14.3,-23.9,-42.3
3,50,-186.14,99.93,-1.34,0.979,0.036,-0.317,18.7,-27.9,-38.7
3,50,-168.38,114.58,-5.86,1.027,0.11,-0.303,21.9,-30,-35.6
3,50,-118.69,87.48,-20.02,0.951,0.105,-0.241,26.1,-29.6,-33.3
3,52,-72.98,65.44,-21.72,1.04,0.182,-0.084,31.2,-26.9,-29.9
3,49,4.17,44.02,-14.03,1.156,0.052,-0.228,36.4,-22.3,-27.7
3,52,6.61,-39.05,-1.22,1.06,0.045,0.071,45.5,-18.3,-23
3,49,1.85,-8.29,0.68,0.884,0.136,0.147,50.6,-14.2,-18.1
3,51,-4.62,-12.99,-2.74,0.991,0.114,0.12,55.7,-11.3,-14.5
3,49,0.38,7.15,-3.17,0.961,0.134,0.078,59.1,-8.4,-11.8
3,53,5.88,-2,-1.16,1.003,0.084,0.053,63,-6.2,-9.6
3,49,8.38,0.74,1.59,0.949,0.095,0.052,66.1,-4,-7.6
3,49,8.56,1.35,1.71,0.994,0.104,0.058,68.6,-2.2,-5.9
Next Letter: 4,,,,,,,,,,
4,50,-1.51,-2.49,-1.03,0.98,0.113,0.045,83.4,5.9,1.7
4,51,-2.36,-2.25,-2.01,0.958,0.116,0.036,83.4,6,1.7
4,51,-2.42,-4.93,-1.64,1,0.108,0.029,83.6,5.9,1.6
4,55,-2,-9.94,-0.73,0.963,0.12,-0.004,84,6,1.3
4,46,-6.51,-4.32,-8.36,0.99,0.112,-0.165,83.3,5.8,-0.6
4,51,48.85,-34.72,8.55,1.378,0.22,-0.871,85.1,8.3,-0.2
4,51,109.76,-113.09,102.3,2.131,0.102,-0.828,90.9,13.9,5
4,51,128.38,-260.55,207.89,1.998,-0.188,-0.529,104.2,20.4,15.6
4,50,137.16,-336.78,247.87,1.355,-0.352,-0.207,113.8,21,22.6
4,50,128.38,-361.93,233.22,0.981,-0.553,-0.044,121.2,18.9,28.8
4,51,99.02,-350.7,153.57,0.258,-0.604,-0.166,121.6,10.9,29
4,52,72.1,-215.08,60.98,-0.183,-0.376,-0.073,109,3.1,25.8
4,49,28.58,-56.93,-17.45,0.055,-0.049,-0.096,111.8,4.5,25
4,51,-18.66,-81.16,-56.51,-0.055,0.358,-0.124,97.3,13.4,15.9
4,50,-65.84,-57.48,-83.74,-0.259,0.375,-0.038,80,16.9,9.3
4,51,-90.62,-10.73,-115.9,-0.124,0.134,-0.22,80.6,12.2,3.4
4,51,-92.45,21.31,-161.01,0.176,-0.21,-0.447,70.5,2.8,-12.9
4,50,-78.41,69.53,-207.15,0.52,-0.536,-0.486,62.3,-6.5,-24.7
4,50,-70.54,45.3,-197.02,0.957,-1.018,-0.93,60.1,-10,-34.6
4,68,-38.98,76.18,-82.33,1.131,-1.188,-1.387,54.9,-12.6,-40.2
4,34,-19.15,84.91,56.16,1.097,-1.362,-1.118,52,-13.3,-38.3
4,51,-73.35,25.4,158.76,0.888,-0.946,-0.827,50.7,-17,-30.2
4,50,-179.12,-31.79,234.68,0.488,-0.28,-0.861,48.7,-24.5,-24.2
4,50,-137.98,-58.83,225.71,0.146,0.148,-1.304,44.8,-25.7,-23.1
4,50,47.2,-43.75,146.55,-0.153,0.137,-1.531,39.1,-19.1,-25.8
4,50,143.15,-91.17,92.59,0.065,-0.315,-1.313,37.5,-12.1,-29.4
4,50,190.81,-101.49,56.34,-0.051,-0.428,-0.872,35.8,-6.1,-32.1
4,50,172.44,-92.88,25.33,-0.082,-0.387,-0.448,33.2,-3.9,-33.5
4,51,124.29,-58.09,5.37,-0.113,-0.235,-0.108,36.1,2.4,-33.3
4,50,51.53,-0.9,-0.61,-0.038,-0.21,0.164,36.2,5,-33.3
4,51,-84.09,-4.93,-1.09,-0.066,-0.14,0.286,36.4,0.7,-33.3
4,51,-185.89,62.88,-13,-0.086,-0.121,0.154,33.2,-8.8,-34
4,52,-253.28,115.67,-38.94,0.06,-0.085,-0.097,27.2,-22,-36
4,57,-280.38,171.15,-67.01,0.429,0.006,-0.763,19.2,-32.2,-43
4,42,-211.22,170.36,-60.3,0.394,0.116,-1.627,12.1,-41.1,-45.5
4,50,-83.11,181.96,-69.52,0.837,0.169,-1.9,3,-45.2,-49
4,52,26.69,92.24,-40.22,0.638,0.144,-1.682,-1.8,-43.8,-51.1
4,50,97.98,129.89,-34.36,0.655,0.067,-1.061,-2.3,-32.6,-53.6
4,53,96.27,97.55,-13.85,0.569,-0.049,-0.714,-0.6,-23.9,-53.9
4,49,63.56,168.9,-6.77,0.537,-0.101,-0.518,-0.7,-18.8,-52.6
4,50,22.72,221.02,-16.41,0.691,-0.186,-0.294,-0.5,-17.1,-48.8
4,49,-27.08,182.81,-37.96,0.93,-0.204,-0.128,3.3,-17.5,-44.2
4,53,-62.12,122.69,-60.54,0.918,-0.211,-0.09,8.7,-19.6,-41.1
4,48,-77.62,112.93,-67.32,1.093,-0.11,-0.087,15.2,-20.7,-38.4
4,53,-70.17,28.7,-38.02,1.15,-0.032,-0.271,23.1,-21,-36.3
4,48,-51.8,45.97,-16.17,1.078,0.053,-0.188,29.7,-19.5,-33
4,54,-19.51,-5.54,-2.13,1.11,0.142,-0.447,35.6,-16.5,-31.4
4,48,23.58,18.93,4.76,1.004,0.112,-0.149,41.4,-12.1,-27.8
4,51,6.79,-21.17,-0.24,0.94,0.093,0.011,48.7,-9.2,-23.5
4,50,-0.9,-2.31,0.06,0.993,0.077,0.012,54.4,-7.1,-19.9
4,54,-2.97,-2.31,-2.8,0.964,0.087,-0.005,59,-5.4,-17.1
4,47,1.06,-0.66,-0.12,1.004,0.089,-0.018,62.9,-3.8,-14.7
4,51,1.91,-2.61,1.04,0.985,0.107,-0.021,66.2,-2.2,-12.6
4,53,2.4,-0.35,-0.42,0.956,0.105,-0.016,68.8,-0.9,-10.9
4,49,3.38,0.81,0.98,0.996,0.093,-0.021,71.1,0.2,-9.4
4,51,0.87,-2.19,2.93,0.982,0.078,-0.017,73.4,0.9,-8
4,72,-3.83,-2.06,3.18,0.977,0.106,-0.032,75,1.5,-6.9
4,30,-2.42,-2.25,-0.55,0.945,0.093,-0.049,76.4,2,-6.3
4,55,1.36,3.98,-3.17,0.977,0.088,-0.03,77.4,2.6,-5.8
4,45,-0.9,0.38,-2.5,0.993,0.089,-0.021,78.5,2.9,-5.2
Next Letter: 5,,,,,,,,,,
5,51,-1.2,0.32,-1.95,0.962,0.087,-0.048,84.1,4.8,-3.1
5,51,-1.51,-0.84,-1.4,1.003,0.098,-0.053,84.1,4.9,-3.1
5,52,-2.36,-2.43,-1.03,0.963,0.102,-0.042,84.1,5,-3.1
5,49,-5.17,-2.37,-3.78,0.972,0.104,-0.026,84.1,4.9,-3
5,51,-7.92,-2.98,-5.06,0.955,0.103,-0.044,84.1,4.8,-3.2
5,51,-2.79,0.07,-5.55,0.999,0.125,-0.07,83.8,5,-3.5
5,51,10.82,-17.99,4.28,1.128,0.121,-0.236,83.5,5.6,-4.6
5,51,73.44,-52.78,46.88,1.515,0.134,-0.936,86.2,9.4,-2.2
5,50,122.03,-168.93,144.66,1.873,-0.076,-1.13,94.7,15.5,5
5,50,153.58,-263.78,208.93,1.434,-0.225,-0.85,107.8,23.1,15.5
5,65,142.78,-365.59,204.9,1.281,-0.508,-0.424,131.6,32.4,28.8
5,35,140.03,-406.73,155.89,0.718,-0.6,-0.323,130.9,26.1,26.3
5,53,139.12,-316.21,68.36,0.161,-0.495,-0.265,127.9,19.8,21.4
5,47,120.2,-129.57,-19.04,0.142,-0.187,0.012,134,25.4,20.5
5,55,71.73,-63.53,-64.94,0.036,0.132,0.134,137.5,29.4,16.9
5,46,-5.05,-23.06,-83.49,-0.028,0.126,0.285,138.6,29.1,13.1
5,52,-102.28,20.21,-92.04,-0.04,0.079,0.23,137.5,23.8,8.3
5,49,-166.55,88.33,-111.75,0.183,-0.198,-0.129,118.9,7.1,-1.5
5,51,-119.98,100.48,-124.57,0.77,-0.829,-0.888,113.8,1,-7.8
5,51,-33.43,103.47,-54.44,1.077,-1.431,-1.316,108.5,-0.7,-10.6
5,51,14.67,76.31,42.18,1.117,-1.31,-1.198,104.6,0,-8.4
5,51,23.76,52.62,119.63,0.768,-1.045,-0.787,101.9,1.2,-2.3
5,53,7.46,26.32,153.02,0.486,-0.689,-0.556,89.8,-5.1,-0.1
5,48,-33.49,29.55,153.69,0.311,-0.343,-0.345,80,-11.1,0.7
5,50,-93.98,34.99,132.63,0.191,-0.182,-0.25,71.3,-18,-0.3
5,51,-146.59,41.27,112.98,0.178,0.012,-0.224,69.1,-25.4,5.5
5,49,-181.19,41.39,76.54,0.012,0.207,-0.416,57.3,-25.2,-1.7
5,51,-180.83,110.06,11.97,0.094,0.298,-0.585,45.1,-25.3,-10.2
5,51,-154.46,131.54,-78.91,0.142,0.361,-0.943,33.9,-25.1,-22.2
5,49,-117.35,124.71,-172.42,0.683,0.498,-1.447,27.8,-30.8,-30.7
5,59,-24.15,72.09,-227.96,0.581,0.436,-1.482,23.5,-32.2,-44.1
5,43,71.55,67.64,-232.11,1.135,0.168,-1.376,20.6,-29.2,-54.1
5,52,149.86,46.4,-179.93,0.961,-0.083,-0.994,18.2,-21.4,-63.5
5,50,134.17,11.3,-82.21,1.118,-0.379,-0.848,17.6,-14.7,-67.6
5,51,96.03,-2.19,31.13,0.947,-0.435,-0.745,17.7,-9.8,-66
5,49,97.43,-58.7,81.91,0.452,-0.312,-1.046,20.9,-6.5,-62
5,51,162.07,-91.3,105.23,0.573,-0.342,-1.072,25.8,-0.9,-56.9
5,49,227.37,-129.38,105.96,0.264,-0.528,-0.971,29.3,4.6,-52.7
5,53,272.3,-150.38,95.4,0.251,-0.684,-0.634,33.9,9.4,-46.7
5,49,273.64,-96.36,57.5,0.065,-0.934,-0.297,33.4,8.6,-39.9
5,53,222.25,-57.18,25.82,0.189,-0.973,-0.077,32.6,5.6,-33.4
5,48,112.08,20.46,47.67,0.302,-1.19,0.206,29,-1.6,-25.1
5,51,-44.29,22.9,88.2,0.535,-0.949,0.154,28,-12.2,-16.3
5,51,-166.3,63.06,171.51,0.223,-0.538,0.065,24.5,-27.6,-5.4
5,51,-219.83,54.94,154.85,-0.04,-0.259,-0.258,17.5,-39.7,-4.6
5,50,-151.47,-30.26,126.29,-0.26,0.219,-0.718,13.3,-37.8,-8.2
5,51,-19.88,-6.7,62.44,-0.928,0.292,-0.769,4.3,-31,-10
5,50,37.62,49.45,5.25,-0.767,0.182,-0.544,-6.4,-23.1,-13.5
5,51,26.63,43.9,-34.79,-0.521,-0.106,-0.481,-14.4,-19.7,-19.3
5,50,3.38,63.61,-52.36,-0.244,-0.168,-0.427,-19.1,-19.5,-26.9
5,52,-20.86,101.21,-66.28,-0.052,-0.31,-0.43,-21.6,-22.8,-33.9
5,49,-29.1,223.1,-75.01,0.083,-0.471,-0.385,-26.5,-28.1,-37.8
