M5#, time(ms), gX (deg/s), gY (deg/s), gZ (deg/s), aX (g), aY (g), aZ (g), pitch (deg), roll (deg), yaw (deg)
e,50,-1.87,0.5,-1.4,0.924,0.101,0.414,64.9,5.3,24.4
e,51,-0.47,0.38,-1.64,0.907,0.116,0.418,64.8,5.4,24.4
e,52,-0.35,-5.24,-1.34,0.925,0.098,0.402,65.2,5.4,24.1
e,49,-3.4,-2.19,-0.79,0.913,0.081,0.422,65.2,5.2,24.2
e,50,-8.28,-8.59,-1.95,0.949,0.103,0.402,65.8,4.9,23.9
e,49,-11.82,-9.02,-4.45,0.934,0.096,0.396,66.2,4.5,23.6
e,50,-15.42,-11.95,-6.16,0.925,0.106,0.405,66.7,4,23.3
e,52,-15.48,-9.14,-3.78,1.012,0.122,0.323,67.8,3.7,22.3
e,49,-1.32,-11.77,17.28,1.293,0.13,0.028,70.7,4,19.8
e,52,60.44,-100.76,96.13,1.76,0.073,-0.167,77.2,6.4,20.3
e,48,108.72,-221,185.06,1.766,0.008,-0.062,87.8,9.9,24.5
e,50,99.26,-293.51,255.44,1.855,-0.122,0.209,102.5,14.9,37.3
e,50,103.35,-446.28,279.36,1.378,-0.145,0.184,118.1,16.2,44.7
e,50,160.42,-488.03,230.59,0.57,-0.141,0.174,131.4,18.6,50.3
e,50,162.62,-373.95,118.41,-0.154,-0.281,0.25,124.3,16.1,53.4
e,50,75.34,-161.18,0.19,0.026,-0.06,0.2,132.3,19.9,53.5
e,50,-79.69,-33.86,-84.96,-0.102,-0.129,0.349,111.6,10.6,51.5
e,50,-218.37,54.46,-158.63,0.084,-0.144,0.175,108.9,-0.3,43.6
e,50,-306.87,135.45,-211.61,0.27,-0.128,-0.102,102.1,-15.7,33
e,51,-298.87,141.98,-207.21,0.744,-0.052,-1.075,85.9,-26.6,10.8
e,52,-127.36,178.05,-135.31,1.586,-0.04,-2.127,76.6,-33.2,3.8
e,47,91.94,-12.99,53.59,1.657,-0.329,-1.816,77.2,-28.9,6.3
e,50,218.95,-57.3,148.62,0.984,-0.39,-1.249,80.1,-18,13.7
e,50,291.95,-112.54,174.2,0.525,-0.412,-0.479,78.8,-7.4,13.7
e,52,289.75,-82.26,146.31,0.299,-0.638,-0.087,74.4,-3.1,17.1
e,49,232.2,9.78,114.93,0.326,-0.87,0.211,65.8,-2.8,21.2
e,50,91.69,45.06,95.28,0.427,-0.989,0.406,57.3,-7.4,25.2
e,50,-111.8,60.5,116.03,0.331,-0.85,0.253,49.2,-20.6,28.7
e,52,-239.79,76.67,112.49,0.219,-0.544,0.027,41.7,-38.3,29.7
e,49,-239.48,-17.93,84.48,0.041,0.189,-0.857,36.6,-40.7,17.2
e,50,-79.51,11.36,53.04,-0.192,0.389,-1.316,29.4,-35.5,6.1
e,50,67.28,2.7,-11.47,-0.251,0.165,-1.08,23,-26,-6.5
e,50,131.61,2.51,-63.47,0.137,-0.311,-0.75,20.8,-19.9,-18
e,51,146.81,-26.6,-103.39,0.202,-0.575,-0.416,21.3,-18.2,-25
e,50,138.14,-56.2,-125.48,0.231,-0.944,-0.15,22.5,-20.7,-27.9
e,51,114.09,-31.36,-121.52,0.429,-1.474,0.439,24.1,-14.8,-34.1
e,49,-15.91,-52.84,-54.26,0.405,-1.661,0.34,26.7,-15.6,-36.7
e,50,-94.46,114.82,9.16,0.314,-1.427,0.268,20.9,-20.3,-36.3
e,50,-170.09,95.84,65.25,0.627,-1.008,0.006,18.5,-33.2,-28
e,50,-194.38,67.39,93.08,0.39,-0.597,-0.606,16.6,-42.5,-25.9
e,50,-124.92,85.1,80.14,0.323,-0.155,-0.979,13.2,-42.7,-29.1
e,50,-26.9,23.21,40.04,0.144,0.177,-1.208,11.2,-36.2,-34.9
e,50,58.98,-10.61,-29.35,0.11,0.024,-0.984,10.9,-28,-43.5
e,50,107.68,-56.38,-97.41,0.413,-0.24,-0.626,16.4,-21.9,-49
e,50,119.83,-77.32,-138.12,0.537,-0.633,-0.351,22.8,-20.2,-50.9
e,52,125.2,-73.11,-156.25,0.614,-0.916,0.006,27.6,-20.1,-50.2
